patinfo_resadmin1,ADM1_PCODE,report_date,Cases,Deaths,Recovered,Shape_Area,Shape_Leng,E_POP,Cum_Case,Cum_Death,Cum_Recovered,TRI_RIDX,TRI_IDX,TRI_IDX2,ADM1_FR,patinfo_res1
Dakar,SN01,2020-03-01,1.0,0.0,0.0,585.2025988,169.1065259,3137196,1.0,0.0,0.0,0.0054,100.0,100.0,Dakar,DAKAR
Louga,SN08,2020-03-01,0.0,0.0,0.0,27771.81093,869.9491995,874193,0.0,0.0,0.0,0.0,0.0,0.0,Louga,LOUGA
Thies,SN13,2020-03-01,0.0,0.0,0.0,7092.875161,523.1627747,1788864,0.0,0.0,0.0,0.0,0.0,0.0,Thies,THIES
Matam,SN09,2020-03-01,0.0,0.0,0.0,31155.168319999997,978.0816239,562539,0.0,0.0,0.0,0.0,0.0,0.0,Matam,MATAM
Kolda,SN07,2020-03-01,0.0,0.0,0.0,14550.95531,738.8787832,662455,0.0,0.0,0.0,0.0,0.0,0.0,Kolda,KOLDA
Fatick,SN03,2020-03-01,0.0,0.0,0.0,7542.168662,618.0601194,714392,0.0,0.0,0.0,0.0,0.0,0.0,Fatick,FATICK
Kaffrine,SN04,2020-03-01,0.0,0.0,0.0,11825.45809,479.67915589999996,566992,0.0,0.0,0.0,0.0,0.0,0.0,Kaffrine,KAFFRINE
^Kaffrine,SN04,2020-03-01,0.0,0.0,0.0,11825.45809,479.67915589999996,566992,0.0,0.0,0.0,0.0,0.0,0.0,Kaffrine,KAFFRINE
Kedougou,SN06,2020-03-01,0.0,0.0,0.0,17775.46604,872.1269719000001,151357,0.0,0.0,0.0,0.0,0.0,0.0,Kedougou,KEDOUGOU
Ziguinchor,SN14,2020-03-01,0.0,0.0,0.0,7780.750851999999,420.0212395,549151,0.0,0.0,0.0,0.0,0.0,0.0,Ziguinchor,ZIGUINCHOR
Saint LOuis,SN10,2020-03-01,0.0,0.0,0.0,20691.32359,993.3532597999999,908942,0.0,0.0,0.0,0.0,0.0,0.0,Saint Louis,SAINT LOUIS
Saint Louis,SN10,2020-03-01,0.0,0.0,0.0,20691.32359,993.3532597999999,908942,0.0,0.0,0.0,0.0,0.0,0.0,Saint Louis,SAINT LOUIS
Saint-LOuis,SN10,2020-03-01,0.0,0.0,0.0,20691.32359,993.3532597999999,908942,0.0,0.0,0.0,0.0,0.0,0.0,Saint Louis,SAINT LOUIS
Saint-Louis,SN10,2020-03-01,0.0,0.0,0.0,20691.32359,993.3532597999999,908942,0.0,0.0,0.0,0.0,0.0,0.0,Saint Louis,SAINT LOUIS
Sedhiou,SN11,2020-03-01,0.0,0.0,0.0,7779.085431,393.2524096,452994,0.0,0.0,0.0,0.0,0.0,0.0,Sedhiou,SEDHIOU
