,Country,ISO_Code,EP_0t9,EP_10t19,EP_20t29,EP_30t39,EP_40t49,EP_50t59,EP_60t69,EP_70t79,EP_80P,EP_BPL,Population,Region,EP_ISD,EP_COPD,EP_Diab,EP_Cancer,EP_HyTen,EP_Male,EP_Female
0,Angola,AGO,37.2,23.3,13.6,8.85,6.62,5.63,2.26,0.98,1.62,44.8,"32,866,272",Middle Africa,3.47,4.12,5.37,3.01,28.83,48.71794872,51.28205128
1,Benin,BEN,35,22,14.6,10.9,6.93,4.96,3.17,1.63,0.82,54.5,"12,123,200",Western Africa,3.39,3.69,5.18,2.98,27.14,49.16115913,50.83884087
2,Burundi,BDI,33.6,24.4,14.6,10.7,6.55,5.27,3.14,1.18,0.6,86.4,"11,890,784",Eastern Africa,3.59,5.22,4.46,1.77,28.99,49.64753273,50.35246727
3,Chad,TCD,39.4,25.6,11.5,9,6.12,4.19,2.66,1.18,0.38,87.4,"16,425,864",Middle Africa,2.96,3.06,4.4,2.8,32.42,49.49494949,50.50505051
4,Congo Brazzaville,COG,28.4,19.8,14.2,13.7,10.1,7.98,3.32,1.76,0.67,23.7,"5,518,087",Middle Africa,4.21,4.78,7.12,3.48,26.23,50.12468828,49.87531172
5,Ethiopia,ETH,30.6,24.7,13.8,11.3,6.68,5.48,4.46,1.99,1.05,80.3,"114,963,588",Eastern Africa,3.35,3.68,4.19,1.91,30.18,49.87468672,50.12531328
6,Guinea,GIN,33.5,23.6,12.5,9.95,7.16,6.34,4.25,1.82,0.87,50.6,"13,132,795",Western Africa,3.36,4.36,5.15,3.12,30.14,49.94994995,50.05005005
7,Madagascar,MDG,29.7,25.3,15.4,10.7,8.25,5.84,3.16,1.22,0.52,64.7,"27,691,018",Eastern Africa,4.4,7.57,4.81,1.87,28,50,50
8,Malawi,MWI,30.8,26.5,14.9,11,6.14,4.69,3.24,1.66,1.12,77.4,"19,129,952",Eastern Africa,3.93,4.75,6.59,1.84,28.41,49.49494949,50.50505051
9,Mali,MLI,36.1,23.2,12.3,10.5,6.39,5.79,3.57,1.58,0.51,45.2,"20,250,833",Western Africa,3.27,3.32,4.73,2.95,31.53,48.66529774,51.33470226
10,Nigeria,NGA,33.5,21.2,13.7,12.2,8.07,5.39,3.45,1.72,0.76,37.1,"206,139,589",Western Africa,3.73,4.26,4.78,3.35,24.09,50.4950495,49.5049505
11,Rwanda,RWA,28.8,23.3,15.5,13.8,7.42,5.39,3.23,1.63,0.9,75.2,"12,952,218",Eastern Africa,3.86,8.84,5.18,2.03,25.97,48.95354773,51.04645227
12,Senegal,SEN,29.3,24.1,14.8,11.6,7.45,5.85,4.24,1.96,0.71,18.4,"16,743,927",Western Africa,4.03,3.33,6.45,3.29,29.1,48.4004128,51.5995872
13,Sierra Leone,SLE,29.9,22.1,16.2,12.2,7.53,6.87,2.97,1.53,0.69,50.6,"7,976,983",Western Africa,4.02,3.76,4.92,3.13,29.4,48.66529774,51.33470226
14,South Africa,ZAF,21.6,18.3,16.2,14.2,10.7,7.73,5.7,2.85,2.63,5.59,"59,308,690",Southern Africa,5.83,5.85,10.63,9.05,26.4,49.41831057,50.58168943
15,Tanzania,TZA,31.8,23.2,14.6,10.8,8.01,5.48,3.25,1.79,1.16,60.7,"59,734,218",Eastern Africa,3.98,6.9,4.88,1.92,27.11,49.92488733,50.07511267
16,Tunisia,TUN,16.7,15.1,14,14.7,13.2,12,8.33,3.75,2.23,0.24,"11,818,619",Northern Africa,7.96,5.69,16.83,11,22.98,49.67287368,50.32712632
17,Uganda,UGA,34.3,23.7,15.2,10.4,6.62,4.48,2.79,1.5,0.96,68.3,"45,741,007",Eastern Africa,3.46,5.85,4.48,1.72,26.45,48.55967078,51.44032922
18,Zambia,ZMB,32,25.6,15.2,11,7.36,4.13,2.64,1.4,0.78,58.4,"18,383,955",Eastern Africa,3.41,3.36,4.81,1.8,27.03,49.94994995,50.05005005
19,Zimbabwe,ZWE,30.3,23.2,13.1,13,7.94,5.25,3.99,1.95,1.3,31.5,"14,862,924",Eastern Africa,4.06,2.99,7.36,7.2,27.52,49.08350305,50.91649695
20,Algeria,DZA,18.3,25.8,20.4,13.1,9.13,5.84,4.42,2.23,0.8,4.48,"43,851,044",Northern Africa,6.57,4.75,13.49,9.82,25.33,50.66600888,49.33399112
21,Botswana,BWA,24.8,25,18.6,11.9,7.05,5.46,3.45,2.46,1.33,52,"2,351,627",Southern Africa,4.57,3.85,8.88,8.78,28.23,48.05194805,51.94805195
22,Burkina Faso,BFA,34.4,24.3,13.4,9.91,6.79,5.29,3.43,1.83,0.66,90.1,"20,903,273",Western Africa,3.06,3.48,5.01,3.03,31.55,48.87525562,51.12474438
23,Cameroon,CMR,30.8,24,16.1,10.4,6.86,5.24,4.05,1.78,0.72,74,"26,545,863",Middle Africa,3.44,3.49,5.94,3.18,24.67,49.82438535,50.17561465
24,Central African Republic CAR,CAF,34.1,21.7,16.5,11.4,7.08,5.19,2.94,0.95,0.21,94,"4,829,767",Middle Africa,3.49,4.44,5.91,3.1,30.9,49.69818913,50.30181087
25,Comoros,COM,29.1,25.4,14.7,10.4,6.61,6.07,3.94,2.63,1.19,60.9,"869,601",Eastern Africa,5.5,5.24,6.54,2.39,26.88,48.34710744,51.65289256
26,Cote d'Ivoire,CIV,29.8,24.3,17.1,12.2,7.02,4.75,3.11,1.21,0.46,64,"26,378,274",Western Africa,3.58,3.99,5.72,3.13,27.42,50.19920319,49.80079681
27,Egypt,EGY,23.6,24.9,16.9,12.6,9.88,6.04,3.97,1.63,0.46,5.39,"102,334,404",Northern Africa,6.68,5.33,10.45,8.94,25.46,51.1002445,48.8997555
