Region,Country,ISO_Code,EP_0t9,EP_10t19,EP_20t29,EP_30t39,EP_40t49,EP_50t59,EP_60t69,EP_70t79,EP_BPL,EP_80P,ADM1_PCODE,Area_PCT,EP_ISD,EP_COPD,EP_Diab,EP_Cancer,EP_HyTen,EP_Male,EP_Female,Gt35K_RTO,MRI_IDX,MRI_RIDX,MRI_RIDX2
Dakar,Senegal,SEN,23.6,20.5,18.2,15.1,9.54,6.29,4.79,1.6,0.22,0.52,SN01,98.47669631976986,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,0.0,7.89,7.89
Diourbel,Senegal,SEN,34.2,22.6,13.4,10.7,6.07,5.57,3.84,2.71,19.9,1.0,SN02,97.18700197003525,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,35.76,8.92,8.92
Fatick,Senegal,SEN,29.2,28.9,11.4,9.77,7.27,6.88,3.28,2.28,23.2,1.02,SN03,95.4876606479193,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,40.63,9.06,9.06
Kaffrine,Senegal,SEN,32.9,24.6,12.8,10.1,6.56,6.27,4.25,1.9,35.4,0.69,SN04,99.77168240504234,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,57.64,9.55,9.55
Kaolack,Senegal,SEN,32.9,24.6,12.8,10.1,6.56,6.27,4.25,1.9,35.4,0.69,SN05,99.17753786833771,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,57.64,9.55,9.55
Kolda,Senegal,SEN,31.7,26.9,13.8,9.53,5.78,6.21,4.02,1.66,63.0,0.47,SN07,99.7768347638764,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,100.0,10.77,10.77
Sedhiou,Senegal,SEN,31.7,26.9,13.8,9.53,5.78,6.21,4.02,1.66,63.0,0.47,SN11,99.75516507413188,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,100.0,10.77,10.77
Louga,Senegal,SEN,29.2,25.9,14.0,10.7,5.46,6.2,5.47,2.24,19.6,0.8,SN08,95.27989651255069,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0043,36.53,8.9,8.942012439245905
Matam,Senegal,SEN,30.5,24.2,14.8,10.8,7.84,4.79,3.7,2.06,30.9,1.24,SN09,98.18608325758915,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0408,66.86,9.43,9.815475399289499
Saint Louis,Senegal,SEN,30.5,24.2,14.8,10.8,7.84,4.79,3.7,2.06,30.9,1.24,SN10,99.2396048391519,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,53.46,9.43,9.429621366669526
Kedougou,Senegal,SEN,35.4,25.4,12.3,9.66,5.77,5.39,3.12,2.2,43.3,1.06,SN06,99.88943353961879,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0453,87.46,9.96,10.408883868417178
Tambacounda,Senegal,SEN,35.4,25.4,12.3,9.66,5.77,5.39,3.12,2.2,43.3,1.06,SN12,99.47429732817565,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0607,92.88,9.96,10.565007540709036
Thies,Senegal,SEN,28.6,26.1,15.0,10.4,7.97,5.22,4.44,1.74,12.8,0.7,SN13,98.66846517905365,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,20.83,8.49,8.49
Ziguinchor,Senegal,SEN,30.9,25.4,12.9,11.9,6.9,4.91,4.23,2.18,18.3,0.8,SN14,99.45484309219025,4.03,3.33,6.45,3.29,29.1,48.4,51.6,0.0,30.9,8.78,8.78
