patinfo_resadmin1,admin1Name,admin1Pcod,patinfo_res1
BOAVISTA,Boa Vista,CV01,BOA VISTA
FOGO,Santa Catarina Do Fogo,CV13,SANTA CATARINA DO FOGO
SAL,Sal,CV11,SAL
SANTIAGO,Ribeira Grande De Santiago,CV10,RIBEIRA GRANDE DE SANTIAGO
SANTO ANTÃO,Porto Novo,CV06,PORTO NOVO
SÃO NICOLAU,Tarrafal De Sao Nicolau,CV22,TARRAFAL DE SAO NICOLAU
SÃO VICENTE,Sao Vicente,CV20,SAO VICENTE
BOA VISTA,Boa Vista,CV01,BOA VISTA
BRAVA,Brava,CV02,BRAVA
MAIO,Maio,CV03,MAIO
MOSTEIROS,Mosteiros,CV04,MOSTEIROS
PAUL,Paul,CV05,PAUL
PRAIA,Praia,CV07,PRAIA
RIBEIRA BRAVA,Ribeira Brava,CV08,RIBEIRA BRAVA
RIBEIRA GRANDE,Ribeira Grande,CV09,RIBEIRA GRANDE
SANTA CATARINA,Santa Catarina,CV12,SANTA CATARINA
SANTA CATARINA DO FOGO,Santa Catarina Do Fogo,CV13,SANTA CATARINA DO FOGO
SANTA CRUZ,Santa Cruz,CV14,SANTA CRUZ
SAO DOMINGOS,Sao Domingos,CV15,SAO DOMINGOS
SAO FILIPE,Sao Filipe,CV16,SAO FILIPE
SAO LOURENCO DOS ORGAOS,Sao Lourenco Dos Orgaos,CV17,SAO LOURENCO DOS ORGAOS
SAO MIGUEL,Sao Miguel,CV18,SAO MIGUEL
SAO SALVADOR DO MUNDO,Sao Salvador Do Mundo,CV19,SAO SALVADOR DO MUNDO
TARRAFAL,Tarrafal,CV21,TARRAFAL
TARRAFAL DE SAO NICOLAU,Tarrafal De Sao Nicolau,CV22,TARRAFAL DE SAO NICOLAU
