admin1Name,admin1Pcod,Shape_Area,Shape_Leng,Name,Status,Population,Area
Boa Vista,CV01,687.9822444,157.9733087,Boa Vista,Mun,18800,631.09
Brava,CV02,70.63280582,91.52732302,Brava,Mun,5460,62.51
Maio,CV03,295.3784601,113.8645722,Maio,Mun,7350,274.47
Mosteiros,CV04,91.54916455,46.89579035,Mosteiros,Mun,9270,89.45
Paul,CV05,60.97946585,49.01098178,Paúl,Mun,5510,54.26
Porto Novo,CV06,617.4019849,158.8322383,Porto Novo,Mun,16950,564.27
Praia,CV07,105.4521129,78.87066937,Praia,Mun,166550,102.55
Ribeira Brava,CV08,246.3299587,177.9530469,Ribeira Brava,Mun,6900,224.81
Ribeira Grande,CV09,184.5151364,80.27193973,Ribeira Grande,Mun,15730,166.51
Ribeira Grande De Santiago,CV10,150.7709436,91.01712386,Ribeira Grande de Santiago,Mun,8520,137.25
Sal,CV11,240.8128825,128.6602101,Sal,Mun,39700,219.84
Santa Catarina,CV12,260.4699139,124.8666854,Santa Catarina,Mun,46760,242.57
Santa Catarina Do Fogo,CV13,166.126287,74.40511583,Santa Catarina do Fogo,Mun,5220,152.95
Santa Cruz,CV14,117.542701,81.54455052,Santa Cruz,Mun,26010,112.21
Sao Domingos,CV15,160.4987955,110.0840618,São Domingos,Mun,14170,147.54
Sao Filipe,CV16,249.1842947,78.09522897,São Filipe,Mun,20530,228.84
Sao Lourenco Dos Orgaos,CV17,42.30284537,34.53738312,São Lourenço dos Órgãos,Mun,6950,36.94
Sao Miguel,CV18,82.746094,64.388694,São Miguel,Mun,13950,77.35
Sao Salvador Do Mundo,CV19,31.70022403,33.75313185,São Salvador do Mundo,Mun,8610,26.48
Tarrafal,CV21,129.8393809,108.4413841,Tarrafal,Mun,18130,120.82
Tarrafal De Sao Nicolau,CV22,131.1315521,85.58751496,Tarrafal de São Nicolau,Mun,5210,119.8
Sao Vicente,CV20,294.7287881,183.3949469,São Vicente,Mun,84230,226.66
