incorrect;correct;admin_lvl
BOUCLE DU MOUHOUN;Boucle du Mouhoun;1
CASCADES;Cascades;1
CENTRE;Centre;1
CENTRE-EST;Centre-Est;1
CENTRE-NORD;Centre-Nord;1
CENTRE-OUEST;Centre-Ouest;1
CENTRE-SUD;Centre-Sud;1
EST;Est;1
HAUTS-BASSINS;Haut-Bassins;1
NORD;Nord;1
PLATEAU CENTRAL;Plateau-Central;1
SAHEL;Sahel;1
SUD-OUEST;Sud-Ouest;1
NA;NA;1
NA;NA;2
BOROMO;Balé;2
KONGOUSSI;Bam;2
Banwa;Banwa;2
BOULMIOUGOU;Kadiogo;2
Bougouriba;Bougouriba;2
BOGODOGO;Kadiogo;2
BOUSSOUMA;Boulgou;2
TENKODOGO;Boulgou;2
KOUDOUGOU;Boulkiemdé;2
NANORO;Boulkiemdé;2
BANFORA;Comoé;2
MANGODARA;Comoé;2
ZORGHO;Ganzourgou;2
BOGANDE;Gnagna;2
Gourma;Gourma;2
Houet;Houet;2
DANO;Ioba;2
Kadiogo;Kadiogo;2
DAFRA;Houet;2
N'DOROLA;Kénédougou;2
Komandjoari;Komandjoari;2
Kompienga;Kompienga;2
BASKUY;Kadiogo;2
BOUSSE;Kourwéogo;2
DO;Kossi;2
NONGR-MASSOUM;Kadiogo;2
NOUNA;Kossi;2
Koulpélogo;Koulpélogo;2
POUYTENGA;Kouritenga;2
SIG-NONGHIN;Zoundwéogo;2
Kourwéogo;Kourwéogo;2
SINDOU;Léraba;2
Loroum;Loroum;2
DANDE;Houet;2
DEDOUGOU;Mouhoun;2
HOUNDE;Tuy;2
KOUPELA;Kourittenga;2
Nahouri;Nahouri;2
BOULSA;Namentenga;2
Nayala;Nayala;2
Noumbiel;Noumbiel;2
ZINIARE;Oubritenga;2
GOROM-GOROM;Oudalan;2
Passoré;Passoré;2
GAOUA;Poni;2
BARSALOGHO;Sanmatenga;2
KAYA;Sanmatenga;2
LEO;Sissili;2
DORI;Séno;2
SEBBA;Yagha;2
MANGA;Zoundwéogo;2
KAMPTI;Poni;2
KARANGASSO-VIGUE;Houet;2
KOMBISSIRI;Bazèga;2
LENA;Houet;2
MANI;Gnagna;2
OUAHIGOUYA;Yatenga;2
PO;Nahouri;2
REO;Sanguié;2
SAPONE;Bazèga;2
SOLENZO;Banwa;2
TENADO;Sanguié;2
THIOU;Boulkiemdé;2
TOMA;Nayala;2
TOUGAN;Sourou;2
TOUGOURI;Namentenga;2
BATIE;Noumbiel;2
DIAPAGA;Tapoa;2
FADA N'GOURMA;Séno;2
Sanguié;Sanguié;2
Sissili;Sissili;2
Soum;Soum;2
Sourou;Sourou;2
Tapoa;Tapoa;2
Tuy;Tuy;2
Yatenga;Yatenga;2
Ziro;Ziro;2
Zondoma;Zondoma;2
BOUCLE DU MOUHOUN;Boucle du Mouhoun;risk
BOUCLE DE MOUHOUN;Boucle du Mouhoun;risk
CASCADES;Cascades;risk
CENTRE;Centre;risk
CENTRE (INCL OUAGADOUGOU);Centre;risk
CENTRE-EST;Centre-Est;risk
CENTRE-NORD;Centre-Nord;risk
CENTRE-OUEST;Centre-Ouest;risk
CENTRE-SUD;Centre-Sud;risk
EST;Est;risk
HAUTS-BASSINS;Haut-Bassins;risk
NORD;Nord;risk
PLATEAU CENTRAL;Plateau-Central;risk
SAHEL;Sahel;risk
SUD-OUEST;Sud-Ouest;risk
HAUTS BASSINS;Haut-Bassins;risk
