patinfo_resadmin1,ADM1_PCODE,report_date,Cases,Deaths,Recovered,Shape_Area,Shape_Leng,E_POP,Cum_Case,Cum_Death,Cum_Recovered,TRI_RIDX,TRI_IDX,TRI_IDX2,ADM1_FR,patinfo_res1
CENTRE,BF13,2020-02-10,0.0,0.0,0.0,3149.5757670000003,370.00053439999994,2854356,0.0,0.0,0.0,0.0,0.0,0.0,Centre,CENTRE
CENTRE-NORD,BF49,2020-02-10,0.0,0.0,0.0,20965.043009999998,891.3753257000001,1687858,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Nord,CENTRE-NORD
SUD-OUEST,BF57,2020-02-10,0.0,0.0,0.0,17186.28579,944.7405872000002,866662,0.0,0.0,0.0,0.0,0.0,0.0,Sud-Ouest,SUD-OUEST
EST,BF52,2020-02-10,0.0,0.0,0.0,50202.976160000006,1639.303752,1777738,0.0,0.0,0.0,0.0,0.0,0.0,Est,EST
CENTRE-SUD,BF51,2020-02-10,0.0,0.0,0.0,12148.41471,796.0990243,871927,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Sud,CENTRE-SUD
BOUCLE DU MOUHOUN,BF46,2020-02-10,0.0,0.0,0.0,36394.00999,1461.923391,1976217,0.0,0.0,0.0,0.0,0.0,0.0,Boucle du Mouhoun,BOUCLE DU MOUHOUN
CASCADES,BF47,2020-02-10,0.0,0.0,0.0,19015.35459,1058.301521,822445,0.0,0.0,0.0,0.0,0.0,0.0,Cascades,CASCADES
SAHEL,BF56,2020-02-10,0.0,0.0,0.0,37838.65124,1299.272365,1395109,0.0,0.0,0.0,0.0,0.0,0.0,Sahel,SAHEL
PLATEAU CENTRAL,BF55,2020-02-10,0.0,0.0,0.0,9066.727236,828.2282913,949697,0.0,0.0,0.0,0.0,0.0,0.0,Plateau-Central,PLATEAU-CENTRAL
CENTRE-EST,BF48,2020-02-10,0.0,0.0,0.0,15197.996469999998,947.439858,1607993,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Est,CENTRE-EST
CENTRE-OUEST,BF50,2020-02-10,0.0,0.0,0.0,22794.97681,1149.529455,1643388,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Ouest,CENTRE-OUEST
HAUTS-BASSINS,BF53,2020-02-10,0.0,0.0,0.0,26525.71731,1229.7459,2158541,0.0,0.0,0.0,0.0,0.0,0.0,Hauts-Bassins,HAUTS-BASSINS
NORD,BF54,2020-02-10,0.0,0.0,0.0,17536.42431,800.7364907000001,1632149,0.0,0.0,0.0,0.0,0.0,0.0,Nord,NORD
SAHEL,BF56,2020-02-11,0.0,0.0,0.0,37838.65124,1299.272365,1395109,0.0,0.0,0.0,0.0,0.0,0.0,Sahel,SAHEL
CENTRE-EST,BF48,2020-02-11,0.0,0.0,0.0,15197.996469999998,947.439858,1607993,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Est,CENTRE-EST
SUD-OUEST,BF57,2020-02-11,0.0,0.0,0.0,17186.28579,944.7405872000002,866662,0.0,0.0,0.0,0.0,0.0,0.0,Sud-Ouest,SUD-OUEST
CASCADES,BF47,2020-02-11,0.0,0.0,0.0,19015.35459,1058.301521,822445,0.0,0.0,0.0,0.0,0.0,0.0,Cascades,CASCADES
NORD,BF54,2020-02-11,0.0,0.0,0.0,17536.42431,800.7364907000001,1632149,0.0,0.0,0.0,0.0,0.0,0.0,Nord,NORD
CENTRE-NORD,BF49,2020-02-11,0.0,0.0,0.0,20965.043009999998,891.3753257000001,1687858,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Nord,CENTRE-NORD
CENTRE,BF13,2020-02-11,0.0,0.0,0.0,3149.5757670000003,370.00053439999994,2854356,0.0,0.0,0.0,0.0,0.0,0.0,Centre,CENTRE
EST,BF52,2020-02-11,0.0,0.0,0.0,50202.976160000006,1639.303752,1777738,0.0,0.0,0.0,0.0,0.0,0.0,Est,EST
BOUCLE DU MOUHOUN,BF46,2020-02-11,0.0,0.0,0.0,36394.00999,1461.923391,1976217,0.0,0.0,0.0,0.0,0.0,0.0,Boucle du Mouhoun,BOUCLE DU MOUHOUN
PLATEAU CENTRAL,BF55,2020-02-11,0.0,0.0,0.0,9066.727236,828.2282913,949697,0.0,0.0,0.0,0.0,0.0,0.0,Plateau-Central,PLATEAU-CENTRAL
HAUTS-BASSINS,BF53,2020-02-11,0.0,0.0,0.0,26525.71731,1229.7459,2158541,0.0,0.0,0.0,0.0,0.0,0.0,Hauts-Bassins,HAUTS-BASSINS
CENTRE-OUEST,BF50,2020-02-11,0.0,0.0,0.0,22794.97681,1149.529455,1643388,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Ouest,CENTRE-OUEST
CENTRE-SUD,BF51,2020-02-11,0.0,0.0,0.0,12148.41471,796.0990243,871927,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Sud,CENTRE-SUD
CENTRE,BF13,2020-02-12,0.0,0.0,0.0,3149.5757670000003,370.00053439999994,2854356,0.0,0.0,0.0,0.0,0.0,0.0,Centre,CENTRE
CENTRE-EST,BF48,2020-02-12,0.0,0.0,0.0,15197.996469999998,947.439858,1607993,0.0,0.0,0.0,0.0,0.0,0.0,Centre-Est,CENTRE-EST
CASCADES,BF47,2020-02-12,0.0,0.0,0.0,19015.35459,1058.301521,822445,0.0,0.0,0.0,0.0,0.0,0.0,Cascades,CASCADES
