patinfo_resadmin1,ADM1_PCODE,report_date,Cases,Deaths,Recovered,Shape_Area,Shape_Leng,E_POP,Cum_Case,Cum_Death,Cum_Recovered,TRI_RIDX,TRI_IDX,TRI_RIDW,TRI_IDW_IDX,ADM1_FR,patinfo_res1
ABIDJAN,CI01,2020-02-07,1.0,0.0,0.0,2172.971082,259.13102319999996,4707404,1.0,0.0,0.0,0.001,100.0,0.0005,100.0,District Autonome D'Abidjan,DISTRICT AUTONOME D'ABIDJAN
TONKPI,CI32,2020-02-07,0.0,0.0,0.0,12474.21043,835.8095981,992564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tonkpi,TONKPI
AGNEBY-TIASSA,CI03,2020-02-07,0.0,0.0,0.0,8253.806466,511.1024909,606852,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Agneby-Tiassa,AGNEBY-TIASSA
BERE,CI07,2020-02-07,0.0,0.0,0.0,11209.36424,797.8847546000001,389758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bere,BERE
PORO,CI28,2020-02-07,0.0,0.0,0.0,12977.85513,843.8555747000001,763852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poro,PORO
SUD COMOE,CI30,2020-02-07,0.0,0.0,0.0,7187.574097,563.3676609,642620,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Sud-Comoe,SUD-COMOE
BAGOUE,CI05,2020-02-07,0.0,0.0,0.0,10571.6586,751.239715,375687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bagoue,BAGOUE
IFFOU,CI19,2020-02-07,0.0,0.0,0.0,9080.965409,543.7170978999999,311642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iffou,IFFOU
GUEMON,CI16,2020-02-07,0.0,0.0,0.0,7337.834738,566.4297015999999,919392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guemon,GUEMON
FOLON,CI10,2020-02-07,0.0,0.0,0.0,6856.127644,613.4209365,96415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folon,FOLON
HAMBOL,CI17,2020-02-07,0.0,0.0,0.0,19843.62139,940.6691555,429977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hambol,HAMBOL
HAUT SASSANDRA,CI18,2020-02-07,0.0,0.0,0.0,15526.092480000001,689.8701014,1430960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haut-Sassandra,HAUT-SASSANDRA
GONTOUGO,CI14,2020-02-07,0.0,0.0,0.0,16529.09394,806.1858252999999,667185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gontougo,GONTOUGO
KABADOUGOU,CI21,2020-02-07,0.0,0.0,0.0,14670.35669,772.0196847999999,193364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kabadougou,KABADOUGOU
BELIER,CI06,2020-02-07,0.0,0.0,0.0,6952.905663,704.0167875,346768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belier,BELIER
SAN PEDRO,CI29,2020-02-07,0.0,0.0,0.0,12464.02881,632.1689757,826666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,San Pedro,SAN PEDRO
WORODOUGOU,CI33,2020-02-07,0.0,0.0,0.0,11753.52565,640.0906547999999,272334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Worodougou,WORODOUGOU
DISTRICT AUTONOME DE YAMOUSSOUKRO,CI02,2020-02-07,0.0,0.0,0.0,2113.028993,225.8134421,355573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District Autonome De Yamoussoukro,DISTRICT AUTONOME DE YAMOUSSOUKRO
TCHOLOGO,CI31,2020-02-07,0.0,0.0,0.0,17947.34722,1055.629279,467958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tchologo,TCHOLOGO
BAFING,CI04,2020-02-07,0.0,0.0,0.0,8906.044440000001,710.4338084,183047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bafing,BAFING
ME,CI24,2020-02-07,0.0,0.0,0.0,8186.2543989999995,573.6280889,514700,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Me,ME
GBEKE,CI11,2020-02-07,0.0,0.0,0.0,9213.155651000001,529.1267371,1010849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gbeke,GBEKE
GBOKLE,CI12,2020-02-07,0.0,0.0,0.0,6298.157729,495.7986846,400798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gbokle,GBOKLE
MARAHOUE,CI23,2020-02-07,0.0,0.0,0.0,8875.106296,551.040015,862344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marahoue,MARAHOUE
CAVALLY,CI09,2020-02-07,0.0,0.0,0.0,11496.0231,750.4793137,459964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cavally,CAVALLY
NAWA,CI26,2020-02-07,0.0,0.0,0.0,9910.950529000002,651.4307233,1053084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nawa,NAWA
MORONOU,CI25,2020-02-07,0.0,0.0,0.0,5693.2220560000005,471.7687061000001,352616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moronou,MORONOU
LOH DJIBOUA,CI22,2020-02-07,0.0,0.0,0.0,8933.223726,515.5314876,729169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loh-Djiboua,LOH-DJIBOUA
GRANDS PONTS,CI15,2020-02-07,0.0,0.0,0.0,4500.714296,484.2305847,356495,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Grands Ponts,GRANDS PONTS
BOUNKANI,CI08,2020-02-07,0.0,0.0,0.0,22799.45509,852.001689,267167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bounkani,BOUNKANI
N'ZI,CI27,2020-02-07,0.0,0.0,0.0,4909.671047,450.4864671,247578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N'Zi,N'ZI
GOH,CI13,2020-02-07,0.0,0.0,0.0,7019.092211,484.111017,876117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goh,GOH
INDENIE-DJUABLIN,CI20,2020-02-07,0.0,0.0,0.0,7053.059181999999,584.6293996,560432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indenie-Djuablin,INDENIE-DJUABLIN
MARAHOUE,CI23,2020-02-08,0.0,0.0,0.0,8875.106296,551.040015,862344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marahoue,MARAHOUE
FOLON,CI10,2020-02-08,0.0,0.0,0.0,6856.127644,613.4209365,96415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Folon,FOLON
WORODOUGOU,CI33,2020-02-08,0.0,0.0,0.0,11753.52565,640.0906547999999,272334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Worodougou,WORODOUGOU
KABADOUGOU,CI21,2020-02-08,0.0,0.0,0.0,14670.35669,772.0196847999999,193364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kabadougou,KABADOUGOU
GRANDS PONTS,CI15,2020-02-08,0.0,0.0,0.0,4500.714296,484.2305847,356495,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Grands Ponts,GRANDS PONTS
BERE,CI07,2020-02-08,0.0,0.0,0.0,11209.36424,797.8847546000001,389758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bere,BERE
N'ZI,CI27,2020-02-08,0.0,0.0,0.0,4909.671047,450.4864671,247578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N'Zi,N'ZI
PORO,CI28,2020-02-08,0.0,0.0,0.0,12977.85513,843.8555747000001,763852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poro,PORO
GONTOUGO,CI14,2020-02-08,0.0,0.0,0.0,16529.09394,806.1858252999999,667185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gontougo,GONTOUGO
SUD COMOE,CI30,2020-02-08,0.0,0.0,0.0,7187.574097,563.3676609,642620,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Sud-Comoe,SUD-COMOE
BAGOUE,CI05,2020-02-08,0.0,0.0,0.0,10571.6586,751.239715,375687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bagoue,BAGOUE
HAUT SASSANDRA,CI18,2020-02-08,0.0,0.0,0.0,15526.092480000001,689.8701014,1430960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Haut-Sassandra,HAUT-SASSANDRA
INDENIE-DJUABLIN,CI20,2020-02-08,0.0,0.0,0.0,7053.059181999999,584.6293996,560432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indenie-Djuablin,INDENIE-DJUABLIN
IFFOU,CI19,2020-02-08,0.0,0.0,0.0,9080.965409,543.7170978999999,311642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iffou,IFFOU
BOUNKANI,CI08,2020-02-08,0.0,0.0,0.0,22799.45509,852.001689,267167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bounkani,BOUNKANI
HAMBOL,CI17,2020-02-08,0.0,0.0,0.0,19843.62139,940.6691555,429977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hambol,HAMBOL
GUEMON,CI16,2020-02-08,0.0,0.0,0.0,7337.834738,566.4297015999999,919392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guemon,GUEMON
BELIER,CI06,2020-02-08,0.0,0.0,0.0,6952.905663,704.0167875,346768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belier,BELIER
AGNEBY-TIASSA,CI03,2020-02-08,0.0,0.0,0.0,8253.806466,511.1024909,606852,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Agneby-Tiassa,AGNEBY-TIASSA
MORONOU,CI25,2020-02-08,0.0,0.0,0.0,5693.2220560000005,471.7687061000001,352616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moronou,MORONOU
ME,CI24,2020-02-08,0.0,0.0,0.0,8186.2543989999995,573.6280889,514700,0.0,0.0,0.0,0.0,0.0,0.0001,20.0,Me,ME
TONKPI,CI32,2020-02-08,0.0,0.0,0.0,12474.21043,835.8095981,992564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tonkpi,TONKPI
LOH DJIBOUA,CI22,2020-02-08,0.0,0.0,0.0,8933.223726,515.5314876,729169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Loh-Djiboua,LOH-DJIBOUA
SAN PEDRO,CI29,2020-02-08,0.0,0.0,0.0,12464.02881,632.1689757,826666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,San Pedro,SAN PEDRO
DISTRICT AUTONOME DE YAMOUSSOUKRO,CI02,2020-02-08,0.0,0.0,0.0,2113.028993,225.8134421,355573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District Autonome De Yamoussoukro,DISTRICT AUTONOME DE YAMOUSSOUKRO
ABIDJAN,CI01,2020-02-08,0.0,0.0,0.0,2172.971082,259.13102319999996,4707404,1.0,0.0,0.0,0.001,100.0,0.0005,100.0,District Autonome D'Abidjan,DISTRICT AUTONOME D'ABIDJAN
TCHOLOGO,CI31,2020-02-08,0.0,0.0,0.0,17947.34722,1055.629279,467958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tchologo,TCHOLOGO
GBEKE,CI11,2020-02-08,0.0,0.0,0.0,9213.155651000001,529.1267371,1010849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gbeke,GBEKE
