incorrect;correct;admin_lvl
ABIDJAAN 2;Abidjan;1
ABIDJAN;Abidjan;1
ABIDJAN 1;Abidjan;1
ABIDJAN 2;Abidjan;1
ABIDJAN 21;Abidjan;1
ABIDJAN_1;Abidjan;1
ABIDJAN1/GRANDS PONTS;Abidjan;1
ABIDJAN1_GRANDS PONTS;Abidjan;1
ANYAMA;Abidjan;1
KOUMASSI;Abidjan;1
APA;APA;1
GBOKLE;Bas-Sassandra;1
GBOKLE_NAWA_SAN PEDRO;Bas-Sassandra;1
NAWA;Bas-Sassandra;1
SAN PEDRO;Bas-Sassandra;1
GRAND BASSAM;Comoé;1
INDENIE-DJUABLIN;Comoé;1
SUD COME;Comoé;1
SUD COMOE;Comoé;1
SUD-COMOÃ‰;Comoé;1
FOLON;Denguélé;1
KABADOUGOU;Denguélé;1
KABADOUGOU_BAFING_FOLON;Denguélé;1
EXAMPLE1;EXAMPLE1;1
GOH;Gôh-Djiboua;1
LOH DJIBOUA;Gôh-Djiboua;1
BELIER;Lacs;1
IFFOU;Lacs;1
MORONOU;Lacs;1
N'ZI;Lacs;1
AGNEBY-TIASSA;Lagunes;1
DABOU;Lagunes;1
GRANDS PONTS;Lagunes;1
GRANDS_PONTS;Lagunes;1
LA ME;Lagunes;1
LA_ME;Lagunes;1
ME;ME;1
CAVALLY;Montagnes;1
CAVALLY/GUEMON;Montagnes;1
GUEMON;Montagnes;1
TONKPI;Montagnes;1
NA;NA;1
HAUT SASSANDRA;Sassandra-Marahoué;1
MARAHOUE;Sassandra-Marahoué;1
BAGOUE;Savanes;1
KONG;Savanes;1
PORO;Savanes;1
TCHOLOGO;Savanes;1
GBEKE;Vallée du Bandama;1
HAMBOL;Vallée du Bandama;1
BAFING;Woroba;1
BERE;Woroba;1
WORODOUGOU;Woroba;1
Yamoussoukro;Yamoussoukro;1
BOUNKANI;Zanzan;1
BOUNKANI_GONTOUGO;Zanzan;1
GONTOUGO;Zanzan;1
ANYAMA;Abidjan;2
YOPOUGON;Abidjan;2
ABOBO;Abidjan;2
ABOBO OUEST;Abidjan;2
ABOBO-OUEST;Abidjan;2
ADJAMÃ‰;Abidjan;2
ADJAME PLATEAU ATTECOUBE;Abidjan;2
ADJAME-PLATEAU-ATTECOUBE;Abidjan;2
AGBOVILLE;Agnéby-Tiassa;2
SIKENSI;Agnéby-Tiassa;2
TIASSALE;Agnéby-Tiassa;2
APA;APA;2
TOUBA;Bafing;2
BOUNDIALI;Bagoué;2
KOUTO;Bagoué;2
TENGRELA;Bagoué;2
DIDIEVI;Bélier;2
TIEBISSOU;Bélier;2
TOUMODI;Bélier;2
KOUMASSI;Abidjan;2
MANKONO;Béré;2
NIAKARA;Hambol;2
BOUAKE NORD OUEST;Gbeke;2
BOUAKE NORD-EST;Gbeke;2
BOUNA;Bounkani;2
BUYO;Nawa;2
DOROPO;Bounkani;2
BLOLEQUIN;Cavally;2
GUIGLO;Cavally;2
TAÃ;TAÃ;2
TOULEPLEU;Cavally;2
COCODY;Abidjan;2
COCODY BINGERVILLE;Abidjan;2
COCODY-BINGERVILLE;Abidjan;2
DS_ADJAME-PLAT;DS_ADJAME-PLAT;2
MINIGNAN;Folon;2
ALEPE;La Mé;2
BEOUMI;Gbeke;2
BOTRO;Gbeke;2
BOUAKE SUD;Gbeke;2
DUEKOUE;Guémon;2
SAKASSOU;Gbeke;2
