patinfo_resadmin1,rowcacode1,report_date,Cases,Deaths,Recovered,Shape_Area,Shape_Leng,E_POP,Cum_Case,Cum_Death,Cum_Recovered,TRI_RIDX,TRI_IDX,TRI_IDX2
AGADEZ,NER001,2020-03-13,0.0,0.0,0.0,704348.2509399999,9255.252908,487620,0.0,0.0,0.0,0.0,0.0,0.0
DOSSO,NER003,2020-03-13,0.0,0.0,0.0,33311.907134,2667.1303611,2037713,0.0,0.0,0.0,0.0,0.0,0.0
NIAMEY,NER008,2020-03-13,0.0,0.0,0.0,592.6403874,120.4281938,1026848,0.0,0.0,0.0,0.0,0.0,0.0
TILLABERI,NER006,2020-03-13,0.0,0.0,0.0,96980.714617,6589.6379461,2722482,0.0,0.0,0.0,0.0,0.0,0.0
DIFFA,NER002,2020-03-13,0.0,0.0,0.0,158593.437198,3653.0262697,593821,0.0,0.0,0.0,0.0,0.0,0.0
ZINDER,NER007,2020-03-13,0.0,0.0,0.0,158139.2761902,5456.7854675,3539764,0.0,0.0,0.0,0.0,0.0,0.0
MARADI,NER004,2020-03-13,0.0,0.0,0.0,42089.06247363,2989.44915189,3402094,0.0,0.0,0.0,0.0,0.0,0.0
TAHOUA,NER005,2020-03-13,0.0,0.0,0.0,116596.49077370002,5473.7572299,3328365,0.0,0.0,0.0,0.0,0.0,0.0
TILLABERI,NER006,2020-03-14,0.0,0.0,0.0,96980.714617,6589.6379461,2722482,0.0,0.0,0.0,0.0,0.0,0.0
NIAMEY,NER008,2020-03-14,0.0,0.0,0.0,592.6403874,120.4281938,1026848,0.0,0.0,0.0,0.0,0.0,0.0
DOSSO,NER003,2020-03-14,0.0,0.0,0.0,33311.907134,2667.1303611,2037713,0.0,0.0,0.0,0.0,0.0,0.0
MARADI,NER004,2020-03-14,0.0,0.0,0.0,42089.06247363,2989.44915189,3402094,0.0,0.0,0.0,0.0,0.0,0.0
TAHOUA,NER005,2020-03-14,0.0,0.0,0.0,116596.49077370002,5473.7572299,3328365,0.0,0.0,0.0,0.0,0.0,0.0
ZINDER,NER007,2020-03-14,0.0,0.0,0.0,158139.2761902,5456.7854675,3539764,0.0,0.0,0.0,0.0,0.0,0.0
AGADEZ,NER001,2020-03-14,0.0,0.0,0.0,704348.2509399999,9255.252908,487620,0.0,0.0,0.0,0.0,0.0,0.0
DIFFA,NER002,2020-03-14,0.0,0.0,0.0,158593.437198,3653.0262697,593821,0.0,0.0,0.0,0.0,0.0,0.0
DOSSO,NER003,2020-03-15,0.0,0.0,0.0,33311.907134,2667.1303611,2037713,0.0,0.0,0.0,0.0,0.0,0.0
NIAMEY,NER008,2020-03-15,0.0,0.0,0.0,592.6403874,120.4281938,1026848,0.0,0.0,0.0,0.0,0.0,0.0
ZINDER,NER007,2020-03-15,0.0,0.0,0.0,158139.2761902,5456.7854675,3539764,0.0,0.0,0.0,0.0,0.0,0.0
AGADEZ,NER001,2020-03-15,0.0,0.0,0.0,704348.2509399999,9255.252908,487620,0.0,0.0,0.0,0.0,0.0,0.0
TILLABERI,NER006,2020-03-15,0.0,0.0,0.0,96980.714617,6589.6379461,2722482,0.0,0.0,0.0,0.0,0.0,0.0
MARADI,NER004,2020-03-15,0.0,0.0,0.0,42089.06247363,2989.44915189,3402094,0.0,0.0,0.0,0.0,0.0,0.0
DIFFA,NER002,2020-03-15,0.0,0.0,0.0,158593.437198,3653.0262697,593821,0.0,0.0,0.0,0.0,0.0,0.0
TAHOUA,NER005,2020-03-15,0.0,0.0,0.0,116596.49077370002,5473.7572299,3328365,0.0,0.0,0.0,0.0,0.0,0.0
MARADI,NER004,2020-03-16,0.0,0.0,0.0,42089.06247363,2989.44915189,3402094,0.0,0.0,0.0,0.0,0.0,0.0
DIFFA,NER002,2020-03-16,0.0,0.0,0.0,158593.437198,3653.0262697,593821,0.0,0.0,0.0,0.0,0.0,0.0
TAHOUA,NER005,2020-03-16,0.0,0.0,0.0,116596.49077370002,5473.7572299,3328365,0.0,0.0,0.0,0.0,0.0,0.0
DOSSO,NER003,2020-03-16,0.0,0.0,0.0,33311.907134,2667.1303611,2037713,0.0,0.0,0.0,0.0,0.0,0.0
AGADEZ,NER001,2020-03-16,0.0,0.0,0.0,704348.2509399999,9255.252908,487620,0.0,0.0,0.0,0.0,0.0,0.0
ZINDER,NER007,2020-03-16,0.0,0.0,0.0,158139.2761902,5456.7854675,3539764,0.0,0.0,0.0,0.0,0.0,0.0
TILLABERI,NER006,2020-03-16,0.0,0.0,0.0,96980.714617,6589.6379461,2722482,0.0,0.0,0.0,0.0,0.0,0.0
NIAMEY,NER008,2020-03-16,0.0,0.0,0.0,592.6403874,120.4281938,1026848,0.0,0.0,0.0,0.0,0.0,0.0
TAHOUA,NER005,2020-03-17,0.0,0.0,0.0,116596.49077370002,5473.7572299,3328365,0.0,0.0,0.0,0.0,0.0,0.0
DOSSO,NER003,2020-03-17,0.0,0.0,0.0,33311.907134,2667.1303611,2037713,0.0,0.0,0.0,0.0,0.0,0.0
DIFFA,NER002,2020-03-17,0.0,0.0,0.0,158593.437198,3653.0262697,593821,0.0,0.0,0.0,0.0,0.0,0.0
ZINDER,NER007,2020-03-17,0.0,0.0,0.0,158139.2761902,5456.7854675,3539764,0.0,0.0,0.0,0.0,0.0,0.0
AGADEZ,NER001,2020-03-17,0.0,0.0,0.0,704348.2509399999,9255.252908,487620,0.0,0.0,0.0,0.0,0.0,0.0
TILLABERI,NER006,2020-03-17,0.0,0.0,0.0,96980.714617,6589.6379461,2722482,0.0,0.0,0.0,0.0,0.0,0.0
NIAMEY,NER008,2020-03-17,0.0,0.0,0.0,592.6403874,120.4281938,1026848,0.0,0.0,0.0,0.0,0.0,0.0
MARADI,NER004,2020-03-17,0.0,0.0,0.0,42089.06247363,2989.44915189,3402094,0.0,0.0,0.0,0.0,0.0,0.0
TILLABERI,NER006,2020-03-18,0.0,0.0,0.0,96980.714617,6589.6379461,2722482,0.0,0.0,0.0,0.0,0.0,0.0
